"CMPD_CHEMBLID","ASSAY_CHEMBLID","CANONICAL_SMILES","STANDARD_TYPE","RELATION","STANDARD_VALUE","STANDARD_UNITS","MOLWEIGHT","ALOGP","PSA","STABLE"
"CHEMBL481133","CHEMBL1013100","C[C@@H]1CN([C@@H](C)CN1S(=O)(=O)c2ccc(Cl)c(Cl)c2)c3ncccc3Cl","T1/2","=","0.03333","hr","434.77","4.71","61.89","0"
"CHEMBL1222947","CHEMBL1228174","C[C@@H]1CN(C[C@H](C)N1C2CCC2)C(c3ccc(F)cc3)c4nnnn4Cc5ccccc5","T1/2","=","0.05","hr","434.55","4.57","50.08","0"
"CHEMBL521270","CHEMBL1013100","C[C@@H]1CN(C[C@H](C)N1S(=O)(=O)c2ccc(Cl)c(Cl)c2)c3ncccc3Cl","T1/2","=","0.05","hr","434.77","4.71","61.89","0"
"CHEMBL558695","CHEMBL1053910","C[C@@H]1CN(C[C@H](C)O1)c2ccc(c(Cl)c2)S(=O)(=O)N3CCN(C[C@H]3C)c4ccc(F)cc4C(F)(F)F","T1/2",">","0.5","hr","550.01","5.37","61.47","1"
"CHEMBL3408946","CHEMBL3411396","C[C@@H]1CN(Cc2ccc(\C=C\c3n[nH]c4cc(ccc34)[C@@H]5C[C@@]56C(=O)Nc7ccccc67)cc2)C[C@H](C)O1","T1/2",">","1","hr","504.62","5.19","70.25","1"
"CHEMBL1098752","CHEMBL1106507","C[C@@H]1CN(CCN1)c2nc(Nc3ccncn3)c4c(n2)c(C)nn4CCOCC(F)(F)F","T1/2","=","1.267","hr","451.45","2.82","105.91","1"
"CHEMBL2315656","CHEMBL2319071","C[C@@H]1CN(CCN1C(=O)C(=O)c2c[nH]c3c(ccc(F)c23)C(=O)N)C(=O)c4ccccc4","T1/2","=","25","hr","436.44","1.89","116.57","1"
"CHEMBL2315328","CHEMBL2317151","C[C@@H]1CN(CCN1C(=O)C(=O)c2c[nH]c3c(ccc(F)c23)c4nn[nH]n4)C(=O)c5ccccc5","T1/2",">","1.667","hr","461.45","2.36","127.94","1"
"CHEMBL567570","CHEMBL1039958","C[C@@H]1CN(CCN1C(=O)C(=O)c2c[nH]c3ccccc23)C(=O)c4ccccc4","T1/2","=","16.9","hr","375.42","2.68","73.48","1"
"CHEMBL585487","CHEMBL1039958","C[C@@H]1CN(CCN1C(=O)C(=O)c2c[nH]c3cccnc23)C(=O)c4ccccc4","T1/2",">","100","hr","376.41","1.96","86.37","1"
"CHEMBL585498","CHEMBL1039958","C[C@@H]1CN(CCN1C(=O)C(=O)c2c[nH]c3ccncc23)C(=O)c4ccccc4","T1/2",">","100","hr","376.41","1.53","86.37","1"
"CHEMBL583867","CHEMBL1039958","C[C@@H]1CN(CCN1C(=O)C(=O)c2c[nH]c3cnccc23)C(=O)c4ccccc4","T1/2","=","38.5","hr","376.41","1.53","86.37","1"
"CHEMBL442078","CHEMBL1039958","C[C@@H]1CN(CCN1C(=O)C(=O)c2c[nH]c3ncccc23)C(=O)c4ccccc4","T1/2","=","49.5","hr","376.41","1.73","86.37","1"
"CHEMBL1222946","CHEMBL1228174","C[C@@H]1CN(CCN1C2CCC2)C(c3ccc(F)cc3)c4nnnn4Cc5ccccc5","T1/2","=","0.1333","hr","420.53","4.2","50.08","0"
"CHEMBL564576","CHEMBL1053910","C[C@@H]1CN(CCN1S(=O)(=O)c2ccc(Br)cc2)c3ccc(F)cc3C(F)(F)F","T1/2",">","0.5","hr","481.3","4.85","49","1"
